# source: file
# clip: 27122013_154548_cam.mp4
# measurement_mode: stepped
# frames_measured: 4895
# clip_duration_s: 163.167
# measured_fps: 30.00
startFrame,endFrame,atMs,durationMs,amplitudeMm,peakClosingVelocityMmPerS,amplitudeOverVelocityMs
81,87,2900,200,3.590181074174503,72.54318902940327,49.49025707595138
234,242,8066.666666666666,266.66666666666606,4.006038835351333,58.568302151095786,68.39943601261423
392,400,13333.333333333334,266.6666666666679,3.157976705084028,57.70043316529628,54.73055455298353
480,487,16233.333333333334,233.33333333333394,3.9464431951923276,81.21921541535534,48.59001869213097
619,624,20800,166.66666666666788,5.169790363633956,133.48410512203327,38.72963270726243
767,775,25833.333333333332,266.66666666666424,4.824571830549787,105.9433019109751,45.539186937970925
1060,1064,35466.66666666667,133.33333333333576,2.8167324488969987,48.81112175511374,57.70677557931562
1203,1218,40600,500,4.591597149310317,113.70090275188514,40.383119554731856
1285,1296,43200,366.66666666666424,4.903042017267911,103.99347151408972,47.14759441994024
1410,1417,47233.333333333336,233.33333333333576,4.109041586629873,88.14992791530946,46.61423649237306
1576,1582,52733.333333333336,200.00000000000728,3.9635317999191315,97.37020712661385,40.70579612473468
1679,1682,56066.66666666667,100,4.436790901985171,77.86163707412095,56.98301588189748
1710,1713,57100,100,4.622461137435817,108.72006911593954,42.51709160069062
1714,1716,57200,66.66666666666424,4.622461137435817,108.72006911593954,42.51709160069062
1836,1842,61400,200,4.552671382580368,76.63679690609342,59.40581504416169
1937,1942,64733.333333333336,166.66666666667152,4.49779361968106,72.89886288761421,61.6990916115545
2007,2014,67133.33333333334,233.33333333334303,4.631193990869358,80.88020375052352,57.259919932377535
2153,2156,71866.66666666666,99.99999999998545,4.826367460702739,92.7492156165566,52.03674692685151
2368,2374,79133.33333333334,200,4.177972469805566,98.76230417929249,42.30331101045293
2476,2484,82800,266.6666666666715,4.246021354344583,86.73622701479115,48.95326324974347
2720,2721,90700,33.33333333332848,4.646773435450914,63.525614664385415,73.14802792543541
2722,2723,90766.66666666667,33.333333333343035,3.9439853473670685,63.525614664385415,62.084961604916174
2944,2948,98266.66666666667,133.33333333332848,4.196517489609555,83.35085815627922,50.34762187740489
3034,3038,101266.66666666667,133.33333333332848,3.793120646292923,100.28367191805829,37.82391065010342
3099,3102,103400,100,3.81860972155609,79.74025516272268,47.888105120351184
3104,3105,103500,33.33333333332848,3.1215074615878278,79.74025516272268,39.14594272639203
3224,3226,107533.33333333333,66.66666666665697,3.1135331278231493,61.934484950232225,50.27139775724372
3228,3230,107666.66666666667,66.66666666667152,3.095243978038448,61.934484950232225,49.976099430319756
3347,3354,111800,233.33333333334303,4.201634257162853,105.31645454716849,39.895325713619144
3586,3592,119733.33333333333,200,3.5200621044660996,63.380104368739296,55.53891303155198
3684,3687,122900,100,2.2309420875866843,50.01873586841556,44.602128559498794
3689,3690,123000,33.33333333332848,4.1005429103227815,61.94149786370431,66.20025430036564
3766,3776,125866.66666666666,333.3333333333285,3.3256786871426596,61.0369113028106,54.48635286676966
3788,3790,126333.33333333333,66.66666666665697,3.599133980932427,92.56851929313224,38.880755665273455
3792,3794,126466.66666666667,66.66666666667152,4.619353176397768,92.56851929313224,49.90198840460963
4019,4027,134233.3333333333,266.66666666665697,2.288871125757127,52.45962731517668,43.63109772026443
4159,4162,138733.3333333333,100,2.0585632779565737,32.86704287317751,62.6330542087359
4261,4272,142400,366.66666666665697,4.279686501141777,99.15020509786757,43.16366765875525
4409,4414,147133.3333333333,166.66666666665697,5.064192198880397,59.58957952958667,84.98452647020252
4530,4533,151100,100,3.4021793511243534,102.0653805337009,33.333333333343035
4534,4545,151500,366.66666666668607,4.28249992845826,102.0653805337009,41.958398685871984
4618,4622,154066.66666666666,133.33333333331393,3.0669260525373865,29.616979944570787,103.55296381593416
4705,4707,156900,66.66666666665697,4.816994966215375,140.66863060778476,34.24356194698604
4708,4720,157333.33333333334,400,4.786479654933649,140.66863060778476,34.02663148317276
4796,4805,160166.66666666666,299.9999999999709,4.466614390495843,109.13141987897652,40.928766394217035
