# source: file
# clip: 27122013_154548_cam.mp4
# measurement_mode: stepped
# frames_measured: 4895
# clip_duration_s: 163.167
# measured_fps: 30.00
startFrame,endFrame,atMs,durationMs,amplitudeMm,peakClosingVelocityMmPerS,amplitudeOverVelocityMs
81,87,2900,200,3.5897667258430603,72.54036626869325,49.48647091946545
234,242,8066.666666666666,266.66666666666606,4.006159738696036,58.540513491601196,68.4339699082209
392,400,13333.333333333334,266.6666666666679,3.1607731325390183,57.34104257965718,55.12235198981824
480,487,16233.333333333334,233.33333333333394,3.9356939443463386,81.28046377680235,48.421155114885
619,624,20800,166.66666666666788,5.18001604064494,134.95639698572626,38.38288629765959
767,775,25833.333333333332,266.66666666666424,4.810102747337124,105.8779443775247,45.43063973915035
1060,1064,35466.66666666667,133.33333333333576,2.841788519323404,49.852481174049956,57.00395351240128
1203,1218,40600,500,4.589572005024308,115.13783939306228,39.86154360041653
1285,1296,43200,366.66666666666424,4.905598238931047,104.07808609914356,47.13382444656055
1410,1417,47233.333333333336,233.33333333333576,4.05249933723611,75.27214493585537,53.83796809151018
1576,1582,52733.333333333336,200.00000000000728,3.9588320661799035,95.8626102017186,41.296935873637736
1679,1682,56066.66666666667,100,4.439643298077517,79.04225830450319,56.167971327112014
1710,1713,57100,100,4.626096353327967,109.70595411928979,42.16814292775521
1714,1716,57200,66.66666666666424,4.626096353327967,109.70595411928979,42.16814292775521
1836,1842,61400,200,4.55670619083391,79.0007127209985,57.67930483015416
1937,1942,64733.333333333336,166.66666666667152,4.50017200111863,73.94896215098159,60.85510695783166
2007,2014,67133.33333333334,233.33333333334303,4.629237387417342,80.89831643801365,57.22291379159146
2153,2156,71866.66666666666,99.99999999998545,4.829610009988292,94.357793013783,51.18400776163578
2368,2374,79133.33333333334,200,4.184880287496268,97.47726527267888,42.931859811512524
2477,2484,82800,233.33333333334303,4.267527985457292,84.90937322750801,50.259798456205594
2720,2721,90700,33.33333333332848,4.4632250155817115,53.68622280010544,83.13538898424692
2944,2948,98266.66666666667,133.33333333332848,4.150554919900422,84.63058967068604,49.04319981759589
3034,3038,101266.66666666667,133.33333333332848,3.7773071417766415,100.95144652730231,37.417068023439064
3099,3102,103400,100,3.815097238689983,79.75599743226208,47.83461258735057
3104,3105,103500,33.33333333332848,3.117995619462425,79.75599743226208,39.09418375853908
3224,3226,107533.33333333333,66.66666666665697,3.120729874480265,61.00956250252239,51.151487512326305
3228,3230,107666.66666666667,66.66666666667152,3.0987430143661,61.00956250252239,50.791103677197896
3347,3354,111800,233.33333333334303,4.250504565037791,102.93039634157789,41.29494023254659
3586,3592,119733.33333333333,200,3.5374620653656956,64.71963554555921,54.65825070778572
3684,3687,122900,100,2.245850058854562,50.010786181591214,44.90731360830418
3689,3690,123000,33.33333333332848,4.104481095073964,62.88793799467724,65.26658729725504
3766,3776,125866.66666666666,333.3333333333285,3.3252376942661064,61.026183234920374,54.48870497874002
3788,3790,126333.33333333333,66.66666666665697,3.6084499596548203,91.18876176877714,39.571213487957976
3792,3794,126466.66666666667,66.66666666667152,4.625646400243021,91.18876176877714,50.72605780054394
4019,4027,134233.3333333333,266.66666666665697,2.2942636627843394,53.08076304444184,43.22213041405355
4159,4162,138733.3333333333,100,2.0591016676950775,33.430246147509486,61.59397267400851
4261,4272,142400,366.66666666665697,4.277445572060325,99.18239260948071,43.12706579788084
4409,4414,147133.3333333333,166.66666666665697,5.0341652246639725,58.17925552671592,86.52852600274824
4530,4533,151100,100,3.404398840944043,102.13196522829156,33.333333333343035
4534,4546,151533.33333333334,400.0000000000291,4.297439547593572,102.13196522829156,42.077321610209644
4618,4622,154066.66666666666,133.33333333331393,3.044402060027872,28.64600501687564,106.27667132762089
4705,4720,157333.33333333334,500,4.7745093547983135,131.52026771771006,36.30246073590828
4796,4805,160166.66666666666,299.9999999999709,4.454334409119535,110.35089816268435,40.36518490817131
